ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12759,1.69,772,1404,6301,3
936,Aragón,5757,14.17,272,826,2666,22
951,Asturias,2424,3.03,125,312,1110,0
947,Baleares,2110,4.78,168,209,1166,0
948,Canarias,2362,2.37,180,151,948,1
937,Cantabria,2320,5.85,79,202,1047,4
939,Castilla La Mancha,17431,21.35,656,2945,9345,6
938,Castilla y León,19042,23.38,551,1928,8686,2
940,Cataluña,59182,26.93,2979,5587,29175,19
941,Ceuta y Melilla,285,22.99,7,6,58,0
944,C. Valenciana,11285,4.06,740,1332,5791,9
945,Extremadura,2976,2.44,110,508,1772,2
946,Galicia,9146,1.74,329,609,2932,2
942,Madrid,69423,21.58,3551,8691,42079,94
952,Murcia,1616,2.48,112,148,682,1
943,Navarra,5275,16.05,136,490,2038,10
950,País Vasco,13529,3.67,574,1424,6963,0
949,La Rioja,4056,5.37,91,362,1485,2
