ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,1287,15.05,38,30
936,Aragón,360,26.83,28,17
951,Asturias,344,33.14,7,2
947,Baleares,203,17.14,10,2
948,Canarias,287,12.82,25,4
937,Cantabria,144,23.06,7,1
939,Castilla La Mancha,1044,50.62,37,62
938,Castilla y León,1147,47.22,69,43
940,Cataluña,3270,42.29,33,82
941,Ceuta y Melilla,29,16.83,1,0
944,C. Valenciana,1105,21.48,71,33
945,Extremadura,297,27.25,4,10
946,Galicia,578,21.3,19,5
942,Madrid,7165,105.47,678,628
952,Murcia,204,13.66,11,0
943,Navarra,554,84.22,19,5
950,País Vasco,1465,64.32,53,71
949,La Rioja,497,147.73,15,7
