ID,CCAA,PCR,Anticuerpos,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,11703,1121,12824,23.66,717,1131,5715,167,4295
936,Aragón,4922,460,5382,72.24,255,709,2372,55,1929
951,Asturias,2238,308,2546,40.18,132,239,1760,4,716
947,Baleares,1847,60,1907,29.58,166,174,1058,26,1102
948,Canarias,2155,0,2155,12.45,171,130,878,15,1036
937,Cantabria,2071,244,2315,60.58,78,182,982,16,1046
939,Castilla La Mancha,15509,3016,18525,100.99,559,2292,8385,144,4876
938,Castilla y León,15990,2269,18259,185.33,511,1639,7555,298,6033
940,Cataluña,46261,1027,47288,172.99,2576,4498,24130,717,16753
941,Ceuta y Melilla,208,35,243,9.91,7,6,54,1,175
944,C. Valenciana,10066,1057,11123,29.74,653,1172,4978,127,6033
945,Extremadura,2718,740,3458,21.73,107,416,1447,0,1510
946,Galicia,9116,0,9116,71.87,90,388,2722,184,1783
942,Madrid,58819,3691,62510,194.65,892,7848,6183,628,34902
952,Murcia,1468,288,1756,3.68,105,126,625,0,842
943,Navarra,4627,647,5274,123.81,129,429,1937,46,1737
950,País Vasco,12366,1766,14132,83.84,525,1212,6375,485,8941
949,La Rioja,3821,1125,4946,188.76,83,311,1360,31,1999
