ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,11774,21.01,716,1145,5748,71,4741
936,Aragón,4955,67.08,257,712,2395,33,1960
951,Asturias,2249,34.9,134,249,1790,11,749
947,Baleares,1854,27.84,166,175,1062,7,1123
948,Canarias,2167,11.56,171,131,880,12,1048
937,Cantabria,2083,56.96,78,183,991,12,1127
939,Castilla La Mancha,15609,94.01,565,2330,8417,100,5196
938,Castilla y León,16222,171.03,515,1666,7653,232,6208
940,Cataluña,46811,166.56,2583,4566,25665,550,17006
941,Ceuta y Melilla,210,11.065,7,6,54,2,185
944,C. Valenciana,10160,26.36,654,1186,5013,94,6243
945,Extremadura,2736,14.61,108,422,1480,18,1582
946,Galicia,9176,68.16,85,394,2735,60,1803
942,Madrid,59126,188.18,873,7922,5892,307,35367
952,Murcia,1474,1.67,106,127,627,6,920
943,Navarra,4712,113.57,129,431,1942,85,1835
950,País Vasco,12455,76.23,533,1230,6426,89,9602
949,La Rioja,3861,183.71,84,315,1380,40,2037
