id,provincia,total,total_porcentaje,total_IC_95%_minimo,total_IC_95%_maximo
13642,Álava,687,7.1,5.3,9.5
13617,Albacete,1060,11.4,8.6,15.1
13630,Alicante,1573,2.5,1.8,3.6
13596,Almería,985,2.1,1,4.3
13608,Ávila,665,6.6,4.8,9.1
13633,Badajoz,1585,2.5,1.6,3.8
13639,Baleares,1372,2.1,1.4,3.2
13622,Barcelona,3700,6.8,5.5,8.4
13609,Burgos,883,5,3.2,7.7
13634,Cáceres,1205,2.9,1.8,4.9
13597,Cádiz,1382,1.6,1,2.6
13631,Castellón,804,2.9,1.4,6
13618,Ciudad Real,1162,9.9,7.4,13.1
13598,Córdoba,1118,3.2,1.8,5.3
13635,La Coruña,1275,1.8,1.1,2.8
13619,Cuenca,850,13.2,10.3,16.8
13623,Gerona,908,2.4,1.6,3.7
13599,Granada,1024,3.3,1.8,5.8
13620,Guadalajara,815,9.9,6.6,14.6
13643,Guipúzcoa,950,2.4,1.3,4.3
13600,Huelva,929,1.1,0.5,2.5
13604,Huesca,732,4.4,2.3,8.1
13601,Jaén,1061,3.7,2.5,5.4
13610,León,886,6.4,4.3,9.4
13624,Lérida,710,3.3,2.1,5.2
13641,La Rioja,1324,3.1,2.2,4.3
13636,Lugo,814,2.1,1.1,4.2
13628,Madrid,3185,10.1,8.6,11.8
13602,Málaga,1463,3.8,2.5,5.8
13646,Murcia,1391,1.3,0.8,2.2
13629,Navarra,1737,5.7,4.3,7.4
13637,Orense,686,2.6,1.7,4
13645,Asturias,1549,1.8,1.2,2.7
13611,Palencia,740,5.9,3.9,8.7
13640,Las Palmas,1244,1.7,1.1,2.7
13638,Pontevedra,1295,2.5,1.8,3.4
13612,Salamanca,809,7.4,5.2,10.4
13640,Santa Cruz de Tenerife,1123,2.6,1,6.3
13607,Cantabria,1504,3.6,2.2,5.8
13613,Segovia,548,12.5,9.1,16.9
13603,Sevilla,1803,2.4,1.6,3.7
13614,Soria,707,13.8,11.2,17
13625,Tarragona,1028,1.5,0.8,2.7
13605,Teruel,685,3,1.5,5.9
13621,Toledo,1180,8.9,5.4,14.1
13632,Valencia,1915,2,1.3,3.2
13615,Valladolid,1084,5.8,3.8,8.7
13644,Vizcaya,1195,3.5,2.2,5.3
13616,Zamora,651,6.1,3.7,9.9
13606,Zaragoza,1331,4.8,3.5,6.6
13626,Ceuta,836,1.1,0.4,2.8
13627,Melilla,927,1.5,0.9,2.6
