ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados,Fecha
935,Andalucía,12,0.14,1,0,NA,NA,NA,05/03/20
936,Aragón,1,0.08,1,0,NA,NA,NA,05/03/20
951,Asturias,5,0.49,2,0,NA,NA,NA,05/03/20
947,Baleares,6,0.52,0,0,NA,NA,NA,05/03/20
948,Canarias,8,0.37,0,0,NA,NA,NA,05/03/20
937,Cantabria,10,1.72,0,0,NA,NA,NA,05/03/20
939,Castilla La Mancha,13,0.64,1,0,NA,NA,NA,05/03/20
938,Castilla y León,11,0.46,1,0,NA,NA,NA,05/03/20
940,Cataluña,24,0.31,0,0,NA,NA,NA,05/03/20
941,Ceuta y Melilla,0,0,0,0,NA,NA,NA,05/03/20
944,C. Valenciana,19,0.38,0,1,NA,NA,NA,05/03/20
945,Extremadura,6,0.56,0,0,NA,NA,NA,05/03/20
946,Galicia,1,0.04,0,0,NA,NA,NA,05/03/20
942,Madrid,90,1.35,2,1,NA,NA,NA,05/03/20
952,Murcia,0,0,0,0,NA,NA,NA,05/03/20
943,Navarra,3,0.46,1,0,NA,NA,NA,05/03/20
950,País Vasco,17,0.77,0,1,NA,NA,NA,05/03/20
949,La Rioja,11,3.47,0,0,NA,NA,NA,05/03/20
935,Andalucía,21,0.25,1,0,NA,NA,NA,06/03/20
936,Aragón,6,0.45,1,1,NA,NA,NA,06/03/20
951,Asturias,5,0.49,2,0,NA,NA,NA,06/03/20
947,Baleares,6,0.52,0,0,NA,NA,NA,06/03/20
948,Canarias,11,0.51,0,0,NA,NA,NA,06/03/20
937,Cantabria,10,1.72,0,0,NA,NA,NA,06/03/20
939,Castilla La Mancha,15,0.74,1,0,NA,NA,NA,06/03/20
938,Castilla y León,14,0.58,1,0,NA,NA,NA,06/03/20
940,Cataluña,24,0.31,0,0,NA,NA,NA,06/03/20
941,Ceuta y Melilla,0,0,0,0,NA,NA,NA,06/03/20
944,C. Valenciana,30,0.6,1,1,NA,NA,NA,06/03/20
945,Extremadura,6,0.56,0,0,NA,NA,NA,06/03/20
946,Galicia,3,0.11,0,0,NA,NA,NA,06/03/20
942,Madrid,137,2.06,2,2,NA,NA,NA,06/03/20
952,Murcia,0,0,0,0,NA,NA,NA,06/03/20
943,Navarra,0,0,0,0,NA,NA,NA,06/03/20
950,País Vasco,3,0.46,1,0,NA,NA,NA,06/03/20
949,La Rioja,45,2.04,1,1,NA,NA,NA,06/03/20
935,Andalucía,54,0.64,1,0,NA,NA,NA,09/03/20
936,Aragón,13,0.99,1,1,NA,NA,NA,09/03/20
951,Asturias,7,0.68,2,0,NA,NA,NA,09/03/20
947,Baleares,11,0.96,0,0,NA,NA,NA,09/03/20
948,Canarias,22,1.02,0,0,NA,NA,NA,09/03/20
937,Cantabria,12,2.07,0,0,NA,NA,NA,09/03/20
939,Castilla La Mancha,26,1.28,2,0,NA,NA,NA,09/03/20
938,Castilla y León,23,0.96,1,0,NA,NA,NA,09/03/20
940,Cataluña,75,0.98,0,1,NA,NA,NA,09/03/20
941,Ceuta y Melilla,0,0,0,0,NA,NA,NA,09/03/20
944,C. Valenciana,37,0.74,1,1,NA,NA,NA,09/03/20
945,Extremadura,7,0.66,0,0,NA,NA,NA,09/03/20
946,Galicia,6,0.22,0,0,NA,NA,NA,09/03/20
942,Madrid,469,7.04,53,8,NA,NA,NA,09/03/20
952,Murcia,4,0.27,0,0,NA,NA,NA,09/03/20
