id,Provincia
13642,Álava
13617,Albacete
13630,Alicante
13596,Almería
13608,Ávila
13633,Badajoz
13639,Baleares
13622,Barcelona
13609,Burgos
13634,Cáceres
13597,Cádiz
13631,Castellón
13618,Ciudad Real
13598,Córdoba
13635,La Coruña
13619,Cuenca
13623,Gerona
13599,Granada
13620,Guadalajara
13643,Guipúzcoa
13600,Huelva
13604,Huesca
13601,Jaén
13610,León
13624,Lérida
13641,La Rioja
13636,Lugo
13628,Madrid
13602,Málaga
13646,Murcia
13629,Navarra
13637,Orense
13645,Asturias
13611,Palencia
13640,Las Palmas
13638,Pontevedra
13612,Salamanca
13640,Santa Cruz de Tenerife
13607,Cantabria
13613,Segovia
13603,Sevilla
13614,Soria
13625,Tarragona
13605,Teruel
13621,Toledo
13632,Valencia
13615,Valladolid
13644,Vizcaya
13616,Zamora
13606,Zaragoza
13626,Ceuta
13627,Melilla
